customer_id,monthly_income,annual_income,monthly_expense,annual_expense,total_assets,total_debt,loan_balance,monthly_loan_payment,credit_score,past_overdue_count,target
C050001,5789367,69472404,2655208,31862496,143100937,93138224,48992930,783191,827,0,0
C050002,5440624,65287488,3274117,39289404,241852784,193706383,188751923,1382102,707,0,1
C050003,7296300,87555600,6445610,77347320,121093447,85291395,85291395,1158526,791,0,0
C050004,5007337,60088044,3559787,42717444,74054214,146381441,133420806,697221,836,0,0
C050005,3491760,41901120,2131023,25572276,257777549,62783227,62783227,403395,752,3,0
C050006,2976297,35715564,1280945,15371340,198750803,108480984,86716808,844134,742,0,0
C050007,5208809,62505708,3177858,38134296,245485663,85554779,60801183,599236,846,0,0
C050008,4417759,53013108,2690476,32285712,519829669,60593109,56630629,492598,797,0,0
C050009,5161930,61943160,2623116,31477392,238509085,102520233,76034915,317296,795,0,0
C050010,5764793,69177516,2791637,33499644,330606251,35620364,21895658,330718,702,0,0
C050011,6046857,72562284,2906862,34882344,40260227,58728096,33917105,120937,819,0,0
C050012,4132460,49589520,2185932,26231184,76020879,68741520,43402975,515533,682,0,0
C050013,2554427,30653124,1331906,15982872,177044780,33493478,33493478,285067,826,0,0
C050014,3221432,38657184,1219544,14634528,82358227,24806814,12808031,193929,765,0,0
C050015,2949314,35391768,2031721,24380652,212204498,24188819,15272849,166212,743,0,0
C050016,7499263,89991156,3783078,45396936,214887770,94612244,74821647,776958,817,0,0
C050017,6023174,72278088,2826491,33917892,392167847,73943484,43666086,452125,802,0,0
C050018,3813868,45766416,2135920,25631040,93778655,27708200,11923558,200610,736,0,0
C050019,3299846,39598152,1780917,21371004,165087926,46917408,22877071,406851,695,0,0
C050020,3163888,37966656,1863459,22361508,140892412,32811500,24220960,172255,797,0,0
C050021,4990019,59880228,3093552,37122624,524808012,275391333,256137010,1749920,680,0,1
C050022,2802971,33635652,1784141,21409692,77665371,26286461,18037005,115489,802,0,0
C050023,5295342,63544104,2664329,31971948,230656654,59999539,54694666,441804,801,0,0
C050024,2700675,32408100,1122731,13472772,65386454,22821312,22821312,268486,781,0,0
C050025,4240069,50880828,1750093,21001116,373700205,196182226,177793262,1345783,757,0,0
C050026,1800000,21600000,931588,11179056,66740385,7849793,7849793,164417,781,0,0
C050027,5669586,68035032,2681786,32181432,262252562,54387990,27124159,827270,778,0,0
C050028,3241610,38899320,2274361,27292332,30758345,40704760,27769553,235595,713,0,0
C050029,4718445,56621340,2617560,31410720,474812751,68811250,58714659,663359,839,0,0
C050030,1821145,21853740,1316250,15795000,80838491,30368597,23471465,239950,702,0,0
C050031,10953477,131441724,7017257,84207084,113391004,133420086,62293876,663759,679,0,0
C050032,5001243,60014916,2971948,35663376,121115595,46857891,46857891,395694,717,0,0
C050033,2027346,24328152,1585913,19030956,16483540,26467380,15762713,57500,790,0,0
C050034,1961326,23535912,1221987,14663844,197282227,17702030,12659483,131509,837,0,0
C050035,4262630,51151560,2045744,24548928,101872108,37186095,31058113,318856,783,0,0
C050036,1946856,23362272,1149431,13793172,67109947,11993205,11993205,50000,827,0,0
C050037,8279153,99349836,4089178,49070136,546197013,145564724,98067167,579512,727,0,0
C050038,2508559,30102708,1301754,15621048,122892747,18765166,12809183,112777,776,0,0
C050039,5102845,61234140,1960786,23529432,287070170,90825526,65568909,840149,751,0,0
C050040,3023341,36280092,2111481,25337772,270062749,21619665,7474882,164295,777,0,0
C050041,7576527,90918324,3892161,46705932,612535493,183789853,183789853,1210009,741,0,0
C050042,8214982,98579784,5349989,64199868,293328122,50315331,50315331,833310,783,0,0
C050043,5512998,66155976,2731436,32777232,258532991,85967602,85967602,571084,801,1,0
C050044,3134402,37612824,1373534,16482408,100111770,61751630,59480419,278511,770,0,0
C050045,7198295,86379540,4887409,58648908,137891766,125644893,114801159,922109,822,0,0
C050046,2633978,31607736,1526297,18315564,169427551,64718824,51353925,506618,730,0,0
C050047,4162000,49944000,2204384,26452608,203977559,62335844,45248239,427629,785,0,0
C050048,4604642,55255704,3434140,41209680,112042022,47670998,30330803,258339,815,0,0
C050049,3186114,38233368,2282670,27392040,110197483,35846659,35846659,340875,771,1,0
C050050,2719655,32635860,2377659,28531908,186004133,16643709,8584131,62541,738,0,0
C050051,3974173,47690076,2461037,29532444,236835222,30181161,18093210,312139,666,0,0
C050052,4209722,50516664,2381454,28577448,215192919,27182536,24002490,392485,695,0,0
C050053,5707654,68491848,3737952,44855424,383438811,62399082,58506958,635296,772,0,0
C050054,3157568,37890816,2126660,25519920,182988589,38609240,21115039,193374,654,1,0
C050055,2785831,33429972,1574580,18894960,98480755,24727039,19916309,213085,849,0,0
C050056,4552763,54633156,2753849,33046188,182169530,110252053,95832529,537189,765,0,0
C050057,4743514,56922168,2525239,30302868,322785427,19647343,16267743,120331,898,0,0
C050058,6271271,75255252,2777280,33327360,136054265,69012908,58639805,595474,844,0,0
C050059,4368190,52418280,3192393,38308716,202957618,169839105,155714686,1074206,758,0,0
C050060,5458447,65501364,2809708,33716496,102624273,49787100,29494908,525413,787,0,0
C050061,3060789,36729468,2401676,28820112,116020758,52174270,52174270,453242,711,0,0
C050062,3238144,38857728,1280158,15361896,67898817,66793327,51167400,453306,806,0,0
C050063,3965918,47591016,1680214,20162568,100397933,41274996,41274996,250654,838,0,0
C050064,4598121,55177452,3132934,37595208,152310037,29375156,24368983,329150,803,0,0
C050065,3428555,41142660,1580494,18965928,416320356,32719813,11700258,234957,803,0,0
C050066,2413521,28962252,1949380,23392560,208357343,14217328,5005342,200537,764,1,0
C050067,3968613,47623356,1227133,14725596,231407755,96746150,87000714,791228,792,0,0
C050068,4606134,55273608,2274543,27294516,74688260,44145485,16835289,212276,797,0,0
C050069,3367132,40405584,1611053,19332636,214460014,56744367,34040583,459334,761,0,1
C050070,1800000,21600000,1082725,12992700,25220497,13500791,10943350,183453,742,0,0
C050071,3965294,47583528,2172139,26065668,375964017,104778496,101950641,749092,745,0,0
C050072,5049286,60591432,4006463,48077556,124728633,45189189,36948990,773892,709,0,0
C050073,2700745,32408940,1448087,17377044,73819674,49852237,44841340,352932,697,0,0
C050074,2154367,25852404,1279192,15350304,84468961,25505683,25505683,192232,825,0,0
C050075,3784512,45414144,1895182,22742184,194987668,58050833,38850742,383526,753,0,0
C050076,3657796,43893552,2178076,26136912,170207237,45704268,30621368,303436,842,0,0
C050077,4342134,52105608,1396035,16752420,131199544,29735258,25270176,490918,873,0,0
C050078,5279817,63357804,3611207,43334484,297499470,116771147,105217174,767918,711,0,0
C050079,3681208,44174496,2018333,24219996,112731215,60949621,60949621,559831,771,0,0
C050080,4274653,51295836,2498899,29986788,579465655,29550092,21956806,85493,859,1,0
C050081,5662811,67953732,4066418,48797016,176861451,108301607,92331127,760865,787,0,1
C050082,7457744,89492928,5646491,67757892,1200407171,85965657,32203981,149155,780,0,0
C050083,3915452,46985424,2328247,27938964,53061461,64544978,55617269,343693,749,0,0
C050084,5654731,67856772,3715974,44591688,410823209,47232933,39060906,871442,827,0,0
C050085,4545248,54542976,2620270,31443240,109355368,29313932,29313932,454258,815,0,0
