customer_id,monthly_income,annual_income,monthly_expense,annual_expense,total_assets,total_debt,loan_balance,monthly_loan_payment,credit_score,past_overdue_count,target
C010001,4018158,48217896,2534153,30409836,114013194,100450872,88671827,662482,873,0,0
C010002,3082382,36988584,1454867,17458404,164907900,16737359,6812498,197247,849,0,0
C010003,2083022,24996264,1403316,16839792,38418701,34847714,34847714,407952,759,0,0
C010004,3646239,43754868,1988023,23856276,367779946,50310838,40854771,430573,791,0,0
C010005,5009852,60118224,3611955,43343460,109952977,127163368,113836484,1557505,607,0,1
C010006,7435230,89222760,3583621,43003452,538773312,68083945,46904545,148705,860,0,0
C010007,2186595,26239140,1065342,12784104,138605520,59689759,57942526,525538,773,0,0
C010008,5643557,67722684,3444192,41330304,757815722,37741323,19706048,183735,852,0,0
C010009,2821334,33856008,1767765,21213180,473984112,13307570,7636405,261336,766,0,0
C010010,5576493,66917916,3938699,47264388,912219309,123583274,98595095,455618,767,0,0
C010011,4399973,52799676,2278519,27342228,48676022,51237008,41444307,407348,773,0,1
C010012,5656355,67876260,4067112,48805344,415453217,75021451,75021451,917974,712,2,1
C010013,3686939,44243268,2471521,29658252,337075961,38460895,31834738,338628,747,0,0
C010014,3293421,39521052,1751133,21013596,109237944,59212037,56280355,495696,848,0,0
C010015,2303343,27640116,1190681,14288172,89111499,29126719,29126719,193823,927,0,0
C010016,3569437,42833244,2581047,30972564,322399439,71259348,58219840,423201,686,0,0
C010017,3059662,36715944,2170771,26049252,153074348,59064038,39925637,401500,728,0,0
C010018,5669070,68028840,2122190,25466280,92621989,29209194,23837101,373180,756,0,0
C010019,2741098,32893176,1634226,19610712,137839244,40253214,28492260,185397,723,0,0
C010020,5835905,70030860,2641342,31696104,540669649,125148143,101124784,1029082,801,0,0
C010021,1821511,21858132,927707,11132484,51903530,63288397,52026114,451827,609,1,0
C010022,3951394,47416728,1787687,21452244,171252599,67410809,26370374,172274,777,0,0
C010023,6138794,73665528,4798852,57586224,151374416,99524273,76410887,626637,863,0,0
C010024,5936593,71239116,4058073,48696876,618885572,68467192,59751711,925683,744,0,0
C010025,4088566,49062792,1844926,22139112,202328102,60350220,31349269,465070,783,0,0
C010026,3018177,36218124,1812335,21748020,56568052,75745824,75745824,656143,875,0,0
C010027,5785959,69431508,2475704,29708448,457281426,69994653,44283858,290267,850,0,0
C010028,3552307,42627684,2202142,26425704,302765739,90426539,73427753,743486,709,0,0
C010029,6948426,83381112,3637061,43644732,247730622,140800796,131815626,1335189,678,1,0
C010030,2293426,27521112,1330148,15961776,71057255,9202957,4465351,136735,787,0,0
C010031,7634261,91611132,4253816,51045792,443997136,147394889,116700520,915651,798,0,0
C010032,4767677,57212124,2946790,35361480,385004880,80024921,61713914,690838,741,0,0
C010033,1800000,21600000,1003995,12047940,29952349,10995220,4744536,80179,760,0,0
C010034,4658926,55907112,3972116,47665392,122729970,55170957,44745395,494525,795,0,0
C010035,4878323,58539876,1937820,23253840,79863704,88672268,87292879,1077321,708,1,0
C010036,2553257,30639084,1681808,20181696,260454431,18807647,9705842,240725,656,0,0
C010037,3528049,42336588,882012,10584144,83131710,120792281,105470267,838027,778,0,0
C010038,6058661,72703932,5821402,69856824,406707161,67434018,67434018,901607,658,1,1
