customer_id,monthly_income,annual_income,monthly_expense,annual_expense,total_assets,total_debt,loan_balance,monthly_loan_payment,credit_score,past_overdue_count,target
C020001,4533712,54404544,2982858,35794296,155281757,54843824,37825747,556073,775,0,0
C020002,2572281,30867372,1818678,21824136,83741529,42360477,42360477,329597,733,0,0
C020003,4719334,56632008,3432031,41184372,194444157,54062160,23983237,425018,806,0,0
C020004,3846887,46162644,3134798,37617576,96667541,67240089,48320880,357728,736,1,0
C020005,4535304,54423648,2414704,28976448,252908797,49012117,25899668,146128,908,0,0
C020006,4032040,48384480,3521890,42262680,51495086,83699175,53927119,429615,734,0,0
C020007,1800000,21600000,786735,9440820,102045097,22999198,9379805,145181,795,0,0
C020008,6631759,79581108,3007002,36084024,617768428,296774647,255153854,1767362,623,0,0
C020009,6424286,77091432,3044770,36537240,579595685,151903716,149427614,787763,843,0,0
C020010,8488782,101865384,4191283,50295396,396760740,113354615,112740410,1295825,754,0,0
C020011,5147927,61775124,1868128,22417536,76924667,83886156,40753841,453653,889,0,0
C020012,3860741,46328892,2937584,35251008,138401374,77392164,77392164,780874,769,0,0
C020013,5220604,62647248,3827662,45931944,145159104,169567712,169567712,1434649,741,0,0
C020014,5803659,69643908,1661055,19932660,182440523,110629732,87400975,486133,732,0,0
C020015,2271971,27263652,2027480,24329760,99643937,44112420,29016183,362745,775,0,0
C020016,4221881,50662572,2489043,29868516,53164397,64882680,64882680,673581,902,0,0
C020017,2977405,35728860,931946,11183352,204802462,22539167,12652525,241923,741,0,0
C020018,2168373,26020476,1526973,18323676,51011513,61143082,51825670,458977,624,0,0
C020019,1800000,21600000,966875,11602500,89159203,25100653,19819745,153892,805,0,0
C020020,3174368,38092416,1279974,15359688,209308587,44831695,27720659,339685,866,0,0
C020021,6743931,80927172,5781643,69379716,767348031,189547533,143835950,1264160,623,2,1
C020022,2631631,31579572,1110680,13328160,46178391,29207060,19464160,277520,832,0,0
C020023,3416432,40997184,2728875,32746500,100931821,48827126,33198333,126439,786,0,0
C020024,5630480,67565760,3177460,38129520,393622167,54598104,52817306,775391,829,0,0
C020025,3427265,41127180,2771740,33260880,48800314,36167884,22250463,249180,826,0,0
C020026,7907371,94888452,3859366,46312392,290305545,59258005,25989374,534090,785,0,0
C020027,1888486,22661832,1132095,13585140,202944969,14421305,7512057,63370,801,0,0
C020028,3494274,41931288,2119494,25433928,46604623,58281819,51714356,568459,741,0,0
C020029,3561124,42733488,1932474,23189688,133289716,34471172,17266979,337454,738,0,0
C020030,4287075,51444900,2177374,26128488,100426497,34006692,25787723,278440,785,0,0
C020031,4065966,48791592,3011558,36138696,322183339,21846399,21846399,336295,767,1,0
C020032,2910209,34922508,1894712,22736544,225842964,53360421,44893240,455553,783,0,0
C020033,6923553,83082636,3032393,36388716,368890669,58985016,58934935,902833,768,0,0
C020034,4351873,52222476,2562724,30752688,165864590,20786950,20786950,147817,842,0,0
C020035,6657027,79884324,2729759,32757108,162179722,56288589,43066567,331096,816,0,0
C020036,2274831,27297972,1464166,17569992,43686223,48778869,30819788,288740,750,0,0
C020037,2456125,29473500,822681,9872172,114724309,15533445,14403067,128239,811,0,0
C020038,3398684,40784208,1662985,19955820,119040563,20511777,20511777,142498,821,0,0
C020039,2699388,32392656,2301253,27615036,404148617,61161208,57109508,400480,795,0,0
C020040,3414525,40974300,2222941,26675292,146064094,52891983,38004531,316695,767,0,0
C020041,3484479,41813748,1855240,22262880,87926023,20606370,20606370,155305,695,1,0
C020042,4441981,53303772,2160356,25924272,82415863,52864446,50154270,499389,791,0,0
C020043,4426929,53123148,2620963,31451556,671880412,50463605,26071816,384786,701,0,0
C020044,3944980,47339760,2598591,31183092,33412251,32047135,20326646,481145,781,0,0
C020045,4780770,57369240,3007364,36088368,101432708,65482639,54615100,555407,711,0,0
C020046,2519434,30233208,1653721,19844652,99911626,66290180,56401577,365357,738,0,1
C020047,10014283,120171396,5004121,60049452,289638236,119537169,119537169,1287128,847,0,0
C020048,4263471,51161652,2539085,30469020,359512907,112744411,93006555,700801,656,0,0
C020049,10961942,131543304,6563911,78766932,300898909,158601525,158601525,914604,844,0,0
C020050,4265083,51180996,2464219,29570628,253778868,40670743,37916636,520555,851,0,0
C020051,5395848,64750176,4166448,49997376,300005837,57940859,40845842,293303,761,0,0
C020052,2774924,33299088,1796456,21557472,95208506,50320957,49453522,385406,672,0,0
C020053,4427705,53132460,2645752,31749024,118077862,59973057,59973057,722501,780,0,0
C020054,2527558,30330696,1261264,15135168,81681722,8576441,5940441,129905,811,0,0
C020055,6253902,75046824,4115821,49389852,784460662,103869429,65506720,850285,804,0,0
C020056,3669780,44037360,1631180,19574160,616523040,36694212,36587880,243649,752,0,1
C020057,12000000,144000000,8481773,101781276,296082469,130868633,118130392,892590,787,0,0
C020058,3418003,41016036,1838457,22061484,126433293,20009783,16295415,299722,862,0,0
C020059,4184123,50209476,3231820,38781840,191246170,85986697,59845199,612624,844,0,0
C020060,2804618,33655416,1800167,21602004,63501499,36192553,24291961,509137,886,0,0
C020061,2150578,25806936,835188,10022256,342983110,34148733,12554335,302123,713,1,0
C020062,4890244,58682928,2346173,28154076,351440348,30753902,16487185,418465,766,0,0
C020063,2828774,33945288,2021276,24255312,126275632,10950596,10950596,208097,754,0,0
C020064,4030513,48366156,3125737,37508844,67667124,178539970,154843308,1240599,561,2,1
C020065,2767923,33215076,1827114,21925368,143615350,23664447,23473795,222006,812,0,0
C020066,3030876,36370512,2135508,25626096,128671896,56388471,54058202,368838,806,0,0
C020067,5000063,60000756,3827272,45927264,50877553,60695249,37155284,337421,812,1,0
C020068,7630130,91561560,5828821,69945852,452127679,233599988,183280650,1338860,778,0,0
C020069,4171408,50056896,1841394,22096728,700796544,105866489,87170823,470254,750,0,0
C020070,6362208,76346496,4494212,53930544,128842941,31027400,15936372,127244,651,1,0
C020071,10785589,129427068,8992744,107912928,367642712,256496273,250552806,1819866,682,0,0
C020072,3286275,39435300,1909663,22915956,124871923,39033742,15748916,160331,779,0,0
C020073,3981126,47773512,2288853,27466236,191347766,79619812,54540290,503582,760,0,0
C020074,5446806,65361672,4568406,54820872,83722232,299464172,288277347,1986042,674,0,0
C020075,2413344,28960128,1659212,19910544,121699851,43691748,38554949,408004,676,0,0
C020076,1800000,21600000,831355,9976260,42277663,26076662,14438027,103048,751,0,0
C020077,5478008,65736096,2760420,33125040,162577826,72499546,52833718,859698,751,0,0
C020078,6728643,80743716,2332805,27993660,542275036,238813683,235429266,1253137,792,0,0
C020079,3821072,45852864,2798627,33583524,170095054,38454804,27944376,517208,751,0,0
